Week,OR,LCI,UCI,p_value
-26,0.865820647173759,0.7534972693611602,0.9948880023254241,0.04212405517601847
-25,1.034714735322265,0.922471108540199,1.1606158432292726,0.5602243575921668
-24,0.9598610128966525,0.858725772206221,1.0729073167466687,0.47080136036000897
-23,0.8929021145820557,0.7837261433026057,1.0172867053603822,0.0886759890414639
-22,1.05648873980584,0.9181873029836434,1.215621751367668,0.442700218021733
-21,1.0235111844043376,0.9051635746091599,1.157332413705558,0.7108765944039266
-20,1.1792033161144244,1.009212294121247,1.3778275084788036,0.03794398214194472
-19,1.0090533887113908,0.8787495603606309,1.158679090379386,0.8983407340062639
-18,1.122954546930477,0.989737427723409,1.2741024832944257,0.0718780956362517
-17,1.0794869391450126,0.9564080388072836,1.2184047022836395,0.21558025056586816
-16,1.0566412935570857,0.9388649992999637,1.1891920820165507,0.36084457097581346
-15,1.0340792102241612,0.89820518650843,1.1905072794943041,0.6410236579251625
-14,1.0079284153406447,0.8905723817712461,1.140749153292353,0.9004921542088378
-13,0.9898158059969904,0.89427184930733,1.0955676739241413,0.8433181925547668
-12,0.9559062367087379,0.8466224345068973,1.07929662165268,0.4665922107011993
-11,0.9569272340182402,0.8307535854929448,1.1022639531100484,0.5416542094644581
-10,0.9527219554416784,0.8545650193571488,1.0621533807496848,0.382636386389416
-9,1.008684528321092,0.9051364903962609,1.12407851022437,0.8756633255747344
-8,1.019076798122746,0.8955133916451288,1.1596895480973983,0.7744553223019994
-7,1.0588995174639584,0.9304924802291861,1.2050265981829626,0.385548840290606
-6,1.0914415363823589,0.9533211502024802,1.2495732703377767,0.20497016309340044
-5,1.1724622066258517,1.0112218965208446,1.3594124402325227,0.03504483356666044
-4,1.3764898562884536,1.1959474342492495,1.5842872940769444,8.409390620744972e-06
-3,1.3779734721755628,1.2052484629620444,1.5754518245582478,2.7042612686933865e-06
-2,1.295890917472216,1.1260531767834954,1.49134455158139,0.00029874315744771174
-1,1.5006544124405357,1.334973316208571,1.6868978864483997,1.0440537323574972e-11
0,1.032306308070205,0.9162392671068673,1.1630764495026193,0.6013291554830493
1,1.1105421100822266,0.9934479643939517,1.2414377224259103,0.06512993335878958
2,1.0417553302096472,0.928334389090736,1.1690336809381494,0.48670191372713245
3,0.9875543885756098,0.8627544985942067,1.1304069372968384,0.8558266389791804
4,1.3691531843848945,1.234636586301909,1.5183256863675194,2.6043713852175188e-09
5,1.4921556043417454,1.3187972669596235,1.688302215473614,2.1306711950330737e-10
6,1.3941312582760883,1.2323670326730187,1.5771291455977798,1.2892860468127765e-07
7,1.3859109507518719,1.2205834301461849,1.5736320156205268,4.7644534628688007e-07
8,1.1045100625648698,0.9766401983060364,1.249121713833835,0.11331557771196343
9,0.954375209942137,0.8495407726704217,1.072146353245666,0.4315195836075363
10,1.0326425851838388,0.9130648936776318,1.1678805264761931,0.6089589292389115
11,1.1170653736702816,0.9609564020621834,1.2985345083037168,0.14946027607305368
12,0.9365516265776533,0.8032677041866734,1.0919509706086852,0.4026444318478173
13,1.0303690298192243,0.907019819778275,1.1704929864378675,0.6456080949531764
14,0.9066118804960113,0.7923680625519015,1.0373273996043662,0.1536662773066071
15,0.9706711558657443,0.8740952783713586,1.0779173805689477,0.5777120877407174
16,1.0107613025204456,0.899467304711308,1.135826066519151,0.857278270366616
17,0.8746682664607687,0.7739079270114672,0.988547280175553,0.031995736946184516
18,0.9462476433999137,0.8153074943810565,1.0982170638816764,0.4671714455345275
19,1.0178379714945085,0.9093310737343411,1.1392925702643693,0.7585251328387523
20,0.9753169604840135,0.8595079644068448,1.1067299115305318,0.6983573943339085
21,0.9380672140940914,0.8026114211025368,1.096383723208731,0.42167303805630585
22,1.0635189665253484,0.9352302386595835,1.2094054976026567,0.34773627318723
23,1.030393829888973,0.9011377838274686,1.178189910275187,0.6615171549901837
24,1.063094536868634,0.9570411053720074,1.180900159853251,0.2538318165407478
25,1.0129054826548343,0.8747948103825118,1.1728207627839091,0.8638685482766209
26,0.8998622183083631,0.7874357068610416,1.0283404789538515,0.121242635975634
